"","mu1","mu2","mu3","sig11","sig21","sig22","sig31","sig32","sig33"
"TMVT",-4.32402190493003,-0.642403106909267,-0.1882935225964,13.7294426896807,5.69172517396439,2.86137304153515,2.65194462029343,1.30141003717747,2.26421803593557
"TMSL",-3.78957224798628,-0.383194342161134,0.0485773832483818,8.68519383784369,3.52716459799476,1.77813689597511,1.46581974276389,0.723824542672496,1.34664417287465
"TMCN",-4.19197864270506,-0.580688462594908,-0.127769858909476,8.20241497601009,3.19032514489374,1.61360566709302,0.862443882709186,0.430852303883471,1.11420526228587
"TMVG",-3.82642610139322,-0.403449587319777,0.0367420331337969,6.35585616780089,2.44008460018651,1.2303643703509,0.597677490001984,0.297824022480399,0.806999503132143
"TMDE",-4.20455232770091,-0.587137061490961,-0.13139608286008,8.50209404859328,3.32278183192059,1.678837237236,0.962902640740952,0.478678554542298,1.18120101365237
"TMVT",1.97814965386852,2.43613100184064,3.23272452504807,5.05205333993414,2.24749371242018,1.19242960428339,1.15575546797769,0.606278165950835,1.54971424780839
"TMSL",2.1259090470537,2.50133753234622,3.26080285874675,4.93860134733064,2.19575303337722,1.18310977450753,1.11157083141308,0.594741311944606,1.65543622406331
"TMCN",2.069884577467,2.47657997124696,3.25191945763424,5.02052087689315,2.23080627577277,1.19460843500465,1.11045116801347,0.591065432072895,1.61344052852414
"TMVG",2.113463821608,2.49560000930221,3.25703049621484,4.94883787553315,2.19900576156032,1.1838173426247,1.09452208106861,0.586988271866238,1.65143507150753
"TMDE",1.9975071305118,2.44447433870375,3.2359753883336,4.9830246051769,2.21450384889395,1.17897447300344,1.108483214029,0.585943464390725,1.55390945799178
